track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Is That Love (IRE),Seamie Heffernan,0,H. D. McGuigan,12th,Neck,6,10-2,70,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,My Little Tip (IRE),C. T. Keane,0,James McAuley,11th,Head,4,9-2tp,56,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Step Back In Time (IRE),R. P. Cleary,0,Christopher David Timmons,10th,3/4 l,5,9-1p,55,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Sounds Of Spring (IRE),N. G. McCullagh,0,K. J. Condon,9th,Neck,6,9-13tb,67,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Iva Batt (IRE),R. P. Whelan,0,Adrian McGuinness,8th,1 1/4 l,5,9-12,66,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Conversant (IRE),D. B. McMonagle,0,Ciaran Murphy,7th,Short Head,8,9-1tv1,55,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Teddy Boy (IRE),J. J. G. Ryan,5,Edward Lynam,6th,1/2 l,8,9-0,54,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Gobi Star (IRE),J. Kearney,5,Patrick Martin,5th,Head,5,9-3tb,57,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Stanhope (USA),Siobhan Rutledge,3,John McConnell,4th,1/2 l,9,8-10,50,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Universally (IRE),C. D. Hayes,0,E. J. O'Neill,3rd,Short Head,4,10-1b,69,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Pulse Of Shanghai (IRE),N. M. Crosse,0,James McAuley,2nd,1/2 l,7,8-7tb,47,True,86,40
Navan Racing Results | 18th October 2023 13:45,N/A,13:45,Soft,5f 164y,Navorrosse (IRE),M. W. Hassett,7,James McAuley,1st,N/A,6,8-7,47,True,86,40
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Sophia Klimt (IRE),R. M. Mulligan,10,Patrick Martin,8th,1 1/2 l,2,9-2t,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Zippy Rocket (GER),G. F. Carroll,0,Gavin Patrick Cromwell,7th,1 1/2 l,2,9-2,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Answer Me Nay (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,6th,1/2 l,2,9-2p1,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Mama Bear (IRE),William James Lee,0,Sarah Lynam,5th,3/4 l,2,9-2,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Babyface (IRE),Ben Martin Coen,0,Edward Lynam,4th,1 3/4 l,2,9-7t1,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Hasshoffman,M. W. Hassett,7,Joseph Patrick O'Brien,3rd,2 1/2 l,2,9-7b,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Beano Power (IRE),J. J. G. Ryan,5,Edward Lynam,2nd,4 3/4 l,2,9-2,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Heavenly Being (IRE),Shane Foley,0,Mrs J. Harrington,1st,N/A,2,9-2,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Sophia Klimt (IRE),R. M. Mulligan,10,Patrick Martin,8th,1 1/2 l,2,9-2t,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Zippy Rocket (GER),G. F. Carroll,0,Gavin Patrick Cromwell,7th,1 1/2 l,2,9-2,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Answer Me Nay (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,6th,1/2 l,2,9-2p1,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Mama Bear (IRE),William James Lee,0,Sarah Lynam,5th,3/4 l,2,9-2,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Babyface (IRE),Ben Martin Coen,0,Edward Lynam,4th,1 3/4 l,2,9-7t1,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Hasshoffman,M. W. Hassett,7,Joseph Patrick O'Brien,3rd,2 1/2 l,2,9-7b,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Beano Power (IRE),J. J. G. Ryan,5,Edward Lynam,2nd,4 3/4 l,2,9-2,-,True,86,41
Navan Racing Results | 18th October 2023 14:15,N/A,14:15,Soft,5f,Heavenly Being (IRE),Shane Foley,0,Mrs J. Harrington,1st,N/A,2,9-2,-,True,86,41
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Go Til Its Over (IRE),G. M. Ryan,0,Philip Michael Byrne,15th,9 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Ginnos Port (IRE),J. M. Sheridan,0,James Coyle,14th,1 1/2 l,4,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Haalim,R. P. Whelan,0,Anthony McCann,13th,1/2 l,3,9-8t,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Beaumadier (IRE),R. C. Colgan,0,M. C. Grassick,12th,4 1/2 l,3,9-8tb1,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Ceres Ring,C. Horgan,7,A. Slattery,11th,2 3/4 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Wild Eyed Girl (IRE),Adam Caffrey,5,Brian Nolan,10th,1 1/2 l,4,9-3b,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Mimosa Park (IRE),William James Lee,0,M. C. Grassick,9th,2 l,3,9-3tb,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Second Fiddle (IRE),P. A. Harnett,5,C. P. Donoghue,8th,3/4 l,4,9-3t,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Billboa,Seamie Heffernan,0,W. P. Browne,7th,2 3/4 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,First Gentleman (IRE),Shane Foley,0,Mrs J. Harrington,6th,Neck,3,9-8p,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Never Cry Never (IRE),Andrew Joseph Slattery,0,J. A. Stack,5th,2 1/2 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Ferrari Desert,C. D. Hayes,0,E. J. O'Neill,4th,3/4 l,3,9-3p,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Cholita (IRE),Ben Martin Coen,0,Sarah Lynam,3rd,1/2 l,3,9-3tp,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Nouvel Espoir (IRE),C. T. Keane,0,James M. Barcoe,2nd,2 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Greek Flower (IRE),D. B. McMonagle,0,J. J. Feane,1st,N/A,4,9-3p,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Go Til Its Over (IRE),G. M. Ryan,0,Philip Michael Byrne,15th,9 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Ginnos Port (IRE),J. M. Sheridan,0,James Coyle,14th,1 1/2 l,4,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Haalim,R. P. Whelan,0,Anthony McCann,13th,1/2 l,3,9-8t,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Beaumadier (IRE),R. C. Colgan,0,M. C. Grassick,12th,4 1/2 l,3,9-8tb1,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Ceres Ring,C. Horgan,7,A. Slattery,11th,2 3/4 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Wild Eyed Girl (IRE),Adam Caffrey,5,Brian Nolan,10th,1 1/2 l,4,9-3b,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Mimosa Park (IRE),William James Lee,0,M. C. Grassick,9th,2 l,3,9-3tb,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Second Fiddle (IRE),P. A. Harnett,5,C. P. Donoghue,8th,3/4 l,4,9-3t,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Billboa,Seamie Heffernan,0,W. P. Browne,7th,2 3/4 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,First Gentleman (IRE),Shane Foley,0,Mrs J. Harrington,6th,Neck,3,9-8p,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Never Cry Never (IRE),Andrew Joseph Slattery,0,J. A. Stack,5th,2 1/2 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Ferrari Desert,C. D. Hayes,0,E. J. O'Neill,4th,3/4 l,3,9-3p,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Cholita (IRE),Ben Martin Coen,0,Sarah Lynam,3rd,1/2 l,3,9-3tp,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Nouvel Espoir (IRE),C. T. Keane,0,James M. Barcoe,2nd,2 l,3,9-8,-,True,86,42
Navan Racing Results | 18th October 2023 14:45,N/A,14:45,Soft,5f,Greek Flower (IRE),D. B. McMonagle,0,J. J. Feane,1st,N/A,4,9-3p,-,True,86,42
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Tai Sing Yeh (IRE),J. M. Sheridan,0,James McAuley,11th,2 3/4 l,9,9-12tb,80,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Bonny Power (IRE),Sorcha Woods,7,Edward Lynam,10th,12 l,3,8-9h1,63,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Spirit Of Eagles (IRE),M. W. Hassett,7,M. C. Grassick,9th,1 1/4 l,3,8-10t,64,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Hallowed Time (IRE),Ben Martin Coen,0,E. J. O'Neill,8th,Short Head,5,9-10p,78,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Collective Power (IRE),J. J. G. Ryan,5,Edward Lynam,7th,Neck,5,10-2,84,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Sunday Sovereign,C. T. Keane,0,James McAuley,6th,3/4 l,6,9-7t,75,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Curraheen Princess (IRE),Andrew Joseph Slattery,0,N. Stokes,5th,Nose,5,9-9,77,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Distillate,Adam Caffrey,5,Adrian McGuinness,4th,1/2 l,3,9-4t,72,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Mehman,D. N. Curran,7,D. J. Bunyan & G. O'Leary,3rd,1/2 l,4,9-8t,76,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Rathbranchurch (IRE),G. F. Carroll,0,Michael Mulvany,2nd,4 1/4 l,3,9-3,71,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Screen Siren (IRE),C. D. Hayes,0,Sarah Lynam,1st,N/A,5,9-10p,78,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Tai Sing Yeh (IRE),J. M. Sheridan,0,James McAuley,11th,2 3/4 l,9,9-12tb,80,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Bonny Power (IRE),Sorcha Woods,7,Edward Lynam,10th,12 l,3,8-9h1,63,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Spirit Of Eagles (IRE),M. W. Hassett,7,M. C. Grassick,9th,1 1/4 l,3,8-10t,64,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Hallowed Time (IRE),Ben Martin Coen,0,E. J. O'Neill,8th,Short Head,5,9-10p,78,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Collective Power (IRE),J. J. G. Ryan,5,Edward Lynam,7th,Neck,5,10-2,84,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Sunday Sovereign,C. T. Keane,0,James McAuley,6th,3/4 l,6,9-7t,75,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Curraheen Princess (IRE),Andrew Joseph Slattery,0,N. Stokes,5th,Nose,5,9-9,77,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Distillate,Adam Caffrey,5,Adrian McGuinness,4th,1/2 l,3,9-4t,72,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Mehman,D. N. Curran,7,D. J. Bunyan & G. O'Leary,3rd,1/2 l,4,9-8t,76,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Rathbranchurch (IRE),G. F. Carroll,0,Michael Mulvany,2nd,4 1/4 l,3,9-3,71,True,86,43
Navan Racing Results | 18th October 2023 15:20,N/A,15:20,Soft,5f,Screen Siren (IRE),C. D. Hayes,0,Sarah Lynam,1st,N/A,5,9-10p,78,True,86,43
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Base Money,G. P. Halpin,0,Emmet Mullins,15th,7 1/2 l,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Grand Island (IRE),S. McCullagh,3,Luke Comer,14th,1 1/4 l,4,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,David's Lad (IRE),C. G. O'Dwyer,5,Conor O'Dwyer,13th,7 l,5,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Spanish John (IRE),C. Horgan,7,P. A. Fahy,12th,34 l,5,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Hutton (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,11th,1/2 l,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Sioux Eagle (IRE),L. T. McAteer,0,Patrick T. Foley,10th,1/2 l,4,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Superbolt (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,9th,1/2 l,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Ikigai Star (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,8th,3/4 l,3,9-8t,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Elusive Guy (IRE),R. P. Whelan,0,Jarlath P. Fahey,7th,Neck,5,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,How About No (FR),D. B. McMonagle,0,Joseph Patrick O'Brien,6th,1 1/2 l,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Chemdawg (IRE),G. F. Carroll,0,Oliver McKiernan,5th,Short Head,4,9-10,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,The Mediator (IRE),William James Lee,0,Gordon Elliott,4th,Neck,6,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Golden Temple (IRE),Ben Martin Coen,0,Noel Meade,3rd,1 l,3,9-8tp1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Neptunes Staircase (IRE),C. T. Keane,0,G. M. Lyons,2nd,Neck,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Bay Of Sanibel (GER),Shane Foley,0,Mrs J. Harrington,1st,N/A,3,9-3,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Base Money,G. P. Halpin,0,Emmet Mullins,15th,7 1/2 l,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Grand Island (IRE),S. McCullagh,3,Luke Comer,14th,1 1/4 l,4,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,David's Lad (IRE),C. G. O'Dwyer,5,Conor O'Dwyer,13th,7 l,5,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Spanish John (IRE),C. Horgan,7,P. A. Fahy,12th,34 l,5,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Hutton (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,11th,1/2 l,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Sioux Eagle (IRE),L. T. McAteer,0,Patrick T. Foley,10th,1/2 l,4,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Superbolt (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,9th,1/2 l,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Ikigai Star (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,8th,3/4 l,3,9-8t,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Elusive Guy (IRE),R. P. Whelan,0,Jarlath P. Fahey,7th,Neck,5,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,How About No (FR),D. B. McMonagle,0,Joseph Patrick O'Brien,6th,1 1/2 l,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Chemdawg (IRE),G. F. Carroll,0,Oliver McKiernan,5th,Short Head,4,9-10,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,The Mediator (IRE),William James Lee,0,Gordon Elliott,4th,Neck,6,10-1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Golden Temple (IRE),Ben Martin Coen,0,Noel Meade,3rd,1 l,3,9-8tp1,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Neptunes Staircase (IRE),C. T. Keane,0,G. M. Lyons,2nd,Neck,3,9-8,-,True,86,44
Navan Racing Results | 18th October 2023 15:55,N/A,15:55,Soft,1m 6f,Bay Of Sanibel (GER),Shane Foley,0,Mrs J. Harrington,1st,N/A,3,9-3,-,True,86,44
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Kings Prince,William James Lee,0,Eamonn O'Connell,21st,7 l,5,10-3,65,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Gains Of War (IRE),N. M. Crosse,0,Luke Comer,20th,24 l,4,8-13b1,47,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,The Riastrad (IRE),R. C. Colgan,0,Donal Kinsella,19th,6 1/2 l,5,9-9h,57,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Final Endeavour (IRE),G. M. Ryan,0,Harry Rogers,18th,Short Head,7,9-9p,57,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Oakley (GER),Seamie Heffernan,0,Anthony Mullins,17th,3 3/4 l,5,10-1,63,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Loudest Whisper (IRE),Kyle Faulkner,10,E. D. Delany,16th,3 1/2 l,8,9-0,48,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Hague Convention (IRE),Aileen O'Sullivan,10,S. Michael Millar,15th,1 l,9,8-13t,47,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Marvel Fan (FR),C. T. Keane,0,A. J. Martin,14th,2 3/4 l,7,8-13t,47,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Meritorious,D. W. O'Connor,0,John McConnell,13th,Neck,5,10-0,62,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Lady Christa (IRE),C. Horgan,7,Ms Sheila Lavery,12th,2 l,3,9-0,55,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Honketonk Angel (IRE),M. W. Hassett,7,Luke Comer,11th,7 1/2 l,6,9-2p,50,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Baron Wild (IRE),L. F. Roche,0,Denis W. Cullen,10th,3/4 l,5,9-2t,50,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Bigz Belief (IRE),Ben Martin Coen,0,Matthew J. Smith,9th,1/2 l,6,9-5tb,53,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Gardone (IRE),N. G. McCullagh,0,Charles Weld,8th,1/2 l,3,8-9,50,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Sioux Grit (IRE),K. J. Leonard,0,R. P. Burns,7th,3 l,5,8-13,47,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Molly Hall (IRE),R. P. Cleary,0,Barry Fitzgerald,6th,1 1/4 l,5,9-4,52,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Spinning Web (IRE),C. D. Hayes,0,Ms Margaret Mullins,5th,1/2 l,3,8-7p1,48,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Global Export (IRE),R. Whearty,5,Gavin Patrick Cromwell,4th,Neck,5,10-0h,62,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Rain (GER),D. B. McMonagle,0,James M. Barcoe,3rd,1 1/2 l,4,10-1,63,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Jazzy Rock (IRE),Declan McDonogh,0,Francis Casey,2nd,1/2 l,4,9-0p,48,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Viceregent,Adam Caffrey,5,Charles Byrnes,1st,N/A,6,10-0p,62,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Kings Prince,William James Lee,0,Eamonn O'Connell,21st,7 l,5,10-3,65,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Gains Of War (IRE),N. M. Crosse,0,Luke Comer,20th,24 l,4,8-13b1,47,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,The Riastrad (IRE),R. C. Colgan,0,Donal Kinsella,19th,6 1/2 l,5,9-9h,57,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Final Endeavour (IRE),G. M. Ryan,0,Harry Rogers,18th,Short Head,7,9-9p,57,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Oakley (GER),Seamie Heffernan,0,Anthony Mullins,17th,3 3/4 l,5,10-1,63,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Loudest Whisper (IRE),Kyle Faulkner,10,E. D. Delany,16th,3 1/2 l,8,9-0,48,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Hague Convention (IRE),Aileen O'Sullivan,10,S. Michael Millar,15th,1 l,9,8-13t,47,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Marvel Fan (FR),C. T. Keane,0,A. J. Martin,14th,2 3/4 l,7,8-13t,47,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Meritorious,D. W. O'Connor,0,John McConnell,13th,Neck,5,10-0,62,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Lady Christa (IRE),C. Horgan,7,Ms Sheila Lavery,12th,2 l,3,9-0,55,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Honketonk Angel (IRE),M. W. Hassett,7,Luke Comer,11th,7 1/2 l,6,9-2p,50,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Baron Wild (IRE),L. F. Roche,0,Denis W. Cullen,10th,3/4 l,5,9-2t,50,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Bigz Belief (IRE),Ben Martin Coen,0,Matthew J. Smith,9th,1/2 l,6,9-5tb,53,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Gardone (IRE),N. G. McCullagh,0,Charles Weld,8th,1/2 l,3,8-9,50,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Sioux Grit (IRE),K. J. Leonard,0,R. P. Burns,7th,3 l,5,8-13,47,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Molly Hall (IRE),R. P. Cleary,0,Barry Fitzgerald,6th,1 1/4 l,5,9-4,52,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Spinning Web (IRE),C. D. Hayes,0,Ms Margaret Mullins,5th,1/2 l,3,8-7p1,48,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Global Export (IRE),R. Whearty,5,Gavin Patrick Cromwell,4th,Neck,5,10-0h,62,True,86,45
Navan Racing Results | 18th October 2023 16:30,N/A,16:30,Soft,1m 6f,Rain (GER),D. B. McMonagle,0,James M. Barcoe,3rd,1 1/2 l,4,10-1,63,True,86,45
