track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Jacenry (FR),B W Harvey,0,D Harvey,1st,N/A,5,11-6,87,True,105,4
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Mr Incredible (IRE),R Deegan,0,W P Mullins,NR,N/A,8,11-0,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Diol Ker (FR),J W Kennedy,0,G Elliott,NR,N/A,10,11-0b,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Longhouse Poet (IRE),J J Slevin,0,M Brassil,PU,N/A,10,11-0tp1,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Now Where Or When (IRE),Sam Ewing,0,S R B Crawford,4th,3 1/4 l,9,11-0tp,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Classic Getaway (IRE),P Townend,0,W P Mullins,3rd,6 1/2 l,8,11-4,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Roi Mage (FR),M M McDonagh,3,P Griffin,2nd,14 l,12,11-10,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Adamantly Chosen (IRE),S F O'Keeffe,0,W P Mullins,1st,N/A,7,11-4,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Mr Incredible (IRE),R Deegan,0,W P Mullins,NR,N/A,8,11-0,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Diol Ker (FR),J W Kennedy,0,G Elliott,NR,N/A,10,11-0b,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Longhouse Poet (IRE),J J Slevin,0,M Brassil,PU,N/A,10,11-0tp1,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Now Where Or When (IRE),Sam Ewing,0,S R B Crawford,4th,3 1/4 l,9,11-0tp,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Classic Getaway (IRE),P Townend,0,W P Mullins,3rd,6 1/2 l,8,11-4,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Roi Mage (FR),M M McDonagh,3,P Griffin,2nd,14 l,12,11-10,-,True,105,5
Down Royal Racing Results | 17th March 2024 15:27,N/A,15:27,Soft,3m 2f 50y,Adamantly Chosen (IRE),S F O'Keeffe,0,W P Mullins,1st,N/A,7,11-4,-,True,105,5
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Faith Loving (FR),J J Slevin,0,Caroline Mccaldin,NR,N/A,9,11-3,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Joshua Webb (IRE),Sam Ewing,0,N Meade,NR,N/A,9,11-5p,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Bleu D'enfer (FR),D A Jacob,0,S R B Crawford,F,N/A,6,11-4t,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Look Dont Touch (IRE),K M Donoghue,0,D A McLoughlin,6th,35 l,9,11-3t,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Bella Bliss (IRE),D E Mullins,0,J C McConnell,5th,13 l,7,11-4t,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,So Des Flos (FR),J C Gainford,0,G Elliott,4th,16 l,7,12-0p,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Neveradullmoment (IRE),S D Torrens,0,J P Dempsey,3rd,Head,7,11-6tp,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Donacheady Gale (IRE),D King,0,J P Ryan,2nd,4 3/4 l,10,11-3,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,St Denis's Well (IRE),J W Kennedy,0,Ian Donoghue,1st,N/A,6,11-3tp,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Faith Loving (FR),J J Slevin,0,Caroline Mccaldin,NR,N/A,9,11-3,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Joshua Webb (IRE),Sam Ewing,0,N Meade,NR,N/A,9,11-5p,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Bleu D'enfer (FR),D A Jacob,0,S R B Crawford,F,N/A,6,11-4t,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Look Dont Touch (IRE),K M Donoghue,0,D A McLoughlin,6th,35 l,9,11-3t,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Bella Bliss (IRE),D E Mullins,0,J C McConnell,5th,13 l,7,11-4t,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,So Des Flos (FR),J C Gainford,0,G Elliott,4th,16 l,7,12-0p,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Neveradullmoment (IRE),S D Torrens,0,J P Dempsey,3rd,Head,7,11-6tp,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,Donacheady Gale (IRE),D King,0,J P Ryan,2nd,4 3/4 l,10,11-3,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:02,N/A,16:02,Soft,2m 3f 140y,St Denis's Well (IRE),J W Kennedy,0,Ian Donoghue,1st,N/A,6,11-3tp,-,True,105,6
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Fr Gilligansvoyge,Mr Pat Taaffe,7,John G Carr,PU,N/A,11,12-0,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Hymie Weiss (IRE),Mr E P Powell,7,L Lennon,4th,22 l,8,11-7,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Global Assembly,Mr D G Lavery,0,D M Christie,3rd,1 l,7,11-7tb1,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Neo King (FR),Mr N McParlan,0,Caroline Mccaldin,2nd,11 l,6,11-7,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Romeo Magico (IRE),Mr D McGill,7,E Mullins,1st,N/A,6,12-0,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Fr Gilligansvoyge,Mr Pat Taaffe,7,John G Carr,PU,N/A,11,12-0,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Hymie Weiss (IRE),Mr E P Powell,7,L Lennon,4th,22 l,8,11-7,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Global Assembly,Mr D G Lavery,0,D M Christie,3rd,1 l,7,11-7tb1,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Neo King (FR),Mr N McParlan,0,Caroline Mccaldin,2nd,11 l,6,11-7,-,True,105,7
Down Royal Racing Results | 17th March 2024 16:37,N/A,16:37,Soft,2m 3f 140y,Romeo Magico (IRE),Mr D McGill,7,E Mullins,1st,N/A,6,12-0,-,True,105,7
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Florance (IRE),Mr N McParlan,0,A McCann,NR,N/A,6,11-11h,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Doyen Og (IRE),Mr C Lamon,7,A Sexton,NR,N/A,5,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Finnicky Filly (IRE),Mr D Doyle,7,J P Ryan,PU,N/A,6,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Remma (IRE),Mr H C Swan,5,E McCarthy,8th,99 l,5,11-11ht1,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Lothbeg (IRE),Mr S Connor,7,S R B Crawford,7th,36 l,6,11-11t1,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Mountrivers Lass (IRE),Mr H Hunt,7,R Murphy,6th,1/2 l,5,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Half Past Tipsy (IRE),Mr D G Lavery,0,G P Cromwell,5th,9 1/2 l,5,11-11h1,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Tillaway (IRE),Mr N Gault,7,S Millar,4th,4 l,5,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Amanha (FR),Mr D McGill,7,D A McLoughlin,3rd,6 l,6,11-11t,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Shannon Bank (IRE),Mr Pat Taaffe,7,S Fahey,2nd,2 3/4 l,5,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Disco Dancer (IRE),Mr J M Halford,7,G Elliott,1st,N/A,5,11-11t,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Florance (IRE),Mr N McParlan,0,A McCann,NR,N/A,6,11-11h,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Doyen Og (IRE),Mr C Lamon,7,A Sexton,NR,N/A,5,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Finnicky Filly (IRE),Mr D Doyle,7,J P Ryan,PU,N/A,6,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Remma (IRE),Mr H C Swan,5,E McCarthy,8th,99 l,5,11-11ht1,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Lothbeg (IRE),Mr S Connor,7,S R B Crawford,7th,36 l,6,11-11t1,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Mountrivers Lass (IRE),Mr H Hunt,7,R Murphy,6th,1/2 l,5,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Half Past Tipsy (IRE),Mr D G Lavery,0,G P Cromwell,5th,9 1/2 l,5,11-11h1,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Tillaway (IRE),Mr N Gault,7,S Millar,4th,4 l,5,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Amanha (FR),Mr D McGill,7,D A McLoughlin,3rd,6 l,6,11-11t,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Shannon Bank (IRE),Mr Pat Taaffe,7,S Fahey,2nd,2 3/4 l,5,11-11,-,True,105,8
Down Royal Racing Results | 17th March 2024 17:10,N/A,17:10,Soft,2m 190y,Disco Dancer (IRE),Mr J M Halford,7,G Elliott,1st,N/A,5,11-11t,-,True,105,8
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Charanda (IRE),D McMonagle,0,A Murray,NR,N/A,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Besiege (IRE),J A Heffernan,0,J Halley,NR,N/A,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Hes Bullet Proof (IRE),G F Carroll,0,M Mulvany,NR,N/A,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Linesky (IRE),S De Sousa,0,A Murray,8th,4 1/2 l,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Bobbi Rosa,A J Slattery,0,A Slattery,7th,1 1/4 l,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Far At Sea (IRE),L T McAteer,0,Barry J Fitzgerald,6th,1 1/4 l,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Brosay,D E Sheehy,0,D Dias,5th,3/4 l,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Marianne North (IRE),R P Whelan,0,J Davison,4th,4 3/4 l,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Monotone (IRE),R P Cleary,0,J S Bolger,3rd,5 l,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Rowdy Yeats (IRE),C T Keane,0,N Meade,2nd,1 1/4 l,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Arizona Blaze,D Egan,0,A Murray,1st,N/A,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Charanda (IRE),D McMonagle,0,A Murray,NR,N/A,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Besiege (IRE),J A Heffernan,0,J Halley,NR,N/A,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Hes Bullet Proof (IRE),G F Carroll,0,M Mulvany,NR,N/A,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Linesky (IRE),S De Sousa,0,A Murray,8th,4 1/2 l,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Bobbi Rosa,A J Slattery,0,A Slattery,7th,1 1/4 l,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Far At Sea (IRE),L T McAteer,0,Barry J Fitzgerald,6th,1 1/4 l,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Brosay,D E Sheehy,0,D Dias,5th,3/4 l,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Marianne North (IRE),R P Whelan,0,J Davison,4th,4 3/4 l,2,9-2,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Monotone (IRE),R P Cleary,0,J S Bolger,3rd,5 l,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Rowdy Yeats (IRE),C T Keane,0,N Meade,2nd,1 1/4 l,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 13:35,N/A,13:35,Heavy,5f,Arizona Blaze,D Egan,0,A Murray,1st,N/A,2,9-7,-,True,105,9
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Loingseoir (IRE),D E Sheehy,0,M C Grassick,13th,1/2 l,8,8-8t,80,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Gustavus Weston (IRE),G F Carroll,0,J G Murphy,12th,Neck,8,8-12,84,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Never Shout Never (IRE),R P Whelan,0,A McGuinness,11th,1/2 l,4,9-3,89,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Big Gossey (IRE),R Whearty,5,C O'Brien,10th,1 l,7,10-7,107,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,New Definition,C T Keane,0,R O'Brien,9th,2 3/4 l,4,9-7,93,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Thunderbear (IRE),J J G Ryan,5,J Davison,8th,3/4 l,4,10-7,107,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Verhoyen,C Geerdharry,7,M C Grassick,7th,3/4 l,9,9-4,90,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Mickey The Steel,D McMonagle,0,Joseph Murray,6th,Head,6,9-5tp,91,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Polar Bear (IRE),S Foley,0,Mrs J Harrington,5th,2 1/4 l,4,8-9p,81,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Two Stars (IRE),J M Sheridan,0,J A Stack,4th,Nose,4,8-10,82,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Laugh A Minute,Adam Caffrey,5,A McGuinness,3rd,1/2 l,9,9-9,95,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Stag Night (IRE),W J Lee,0,W McCreery,2nd,3 l,6,9-4,90,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Real Force,M W Hassett,7,Gerard O'Leary,1st,N/A,7,9-3,89,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Loingseoir (IRE),D E Sheehy,0,M C Grassick,13th,1/2 l,8,8-8t,80,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Gustavus Weston (IRE),G F Carroll,0,J G Murphy,12th,Neck,8,8-12,84,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Never Shout Never (IRE),R P Whelan,0,A McGuinness,11th,1/2 l,4,9-3,89,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Big Gossey (IRE),R Whearty,5,C O'Brien,10th,1 l,7,10-7,107,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,New Definition,C T Keane,0,R O'Brien,9th,2 3/4 l,4,9-7,93,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Thunderbear (IRE),J J G Ryan,5,J Davison,8th,3/4 l,4,10-7,107,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Verhoyen,C Geerdharry,7,M C Grassick,7th,3/4 l,9,9-4,90,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Mickey The Steel,D McMonagle,0,Joseph Murray,6th,Head,6,9-5tp,91,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Polar Bear (IRE),S Foley,0,Mrs J Harrington,5th,2 1/4 l,4,8-9p,81,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Two Stars (IRE),J M Sheridan,0,J A Stack,4th,Nose,4,8-10,82,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Laugh A Minute,Adam Caffrey,5,A McGuinness,3rd,1/2 l,9,9-9,95,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Stag Night (IRE),W J Lee,0,W McCreery,2nd,3 l,6,9-4,90,True,105,10
Curragh Racing Results | 18th March 2024 14:05,N/A,14:05,Heavy,5f,Real Force,M W Hassett,7,Gerard O'Leary,1st,N/A,7,9-3,89,True,105,10
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,King Of Lots (IRE),N M Crosse,0,J G Coogan,NR,N/A,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Noble Andy (IRE),D Butler,10,M Fahey,NR,N/A,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Turn Up The Beat,G M Ryan,0,David Barry,15th,1 1/4 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Powerful Don (IRE),J Kearney,5,L Comer,14th,6 l,6,10-7,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Kilbarry Jack (IRE),R P Whelan,0,A McGuinness,13th,3 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Crest Of The Moon (IRE),R Whearty,5,G P Cromwell,12th,1/2 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Anyothername (IRE),L F Roche,0,A A Howard,11th,9 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Late Night Talking (IRE),S De Sousa,0,Miss Jennifer Anne Lynch,10th,7 1/2 l,3,9-6t,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Calzaghi (IRE),C M Hogan,7,Kevin Coleman,9th,1/2 l,4,10-7,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Finito Bonito (IRE),J J G Ryan,5,T G McCourt,8th,1/2 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Butter Fingers (IRE),G F Carroll,0,M Mulvany,7th,4 1/2 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Slaney Swagger (IRE),R P Cleary,0,J S Bolger,6th,1 1/4 l,3,9-6p1,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Subjugate (IRE),S Foley,0,Mrs J Harrington,5th,1/2 l,3,9-6t1,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Truly Kodi (IRE),R C Colgan,0,S Lavery,4th,1/2 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Old Faithful (FR),R L Moore,0,A P O'Brien,3rd,4 3/4 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Marty The Party (IRE),J M Sheridan,0,J A Stack,2nd,3/4 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Procrastinate,W J Lee,0,P Twomey,1st,N/A,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,King Of Lots (IRE),N M Crosse,0,J G Coogan,NR,N/A,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Noble Andy (IRE),D Butler,10,M Fahey,NR,N/A,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Turn Up The Beat,G M Ryan,0,David Barry,15th,1 1/4 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Powerful Don (IRE),J Kearney,5,L Comer,14th,6 l,6,10-7,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Kilbarry Jack (IRE),R P Whelan,0,A McGuinness,13th,3 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Crest Of The Moon (IRE),R Whearty,5,G P Cromwell,12th,1/2 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Anyothername (IRE),L F Roche,0,A A Howard,11th,9 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Late Night Talking (IRE),S De Sousa,0,Miss Jennifer Anne Lynch,10th,7 1/2 l,3,9-6t,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Calzaghi (IRE),C M Hogan,7,Kevin Coleman,9th,1/2 l,4,10-7,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Finito Bonito (IRE),J J G Ryan,5,T G McCourt,8th,1/2 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Butter Fingers (IRE),G F Carroll,0,M Mulvany,7th,4 1/2 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Slaney Swagger (IRE),R P Cleary,0,J S Bolger,6th,1 1/4 l,3,9-6p1,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Subjugate (IRE),S Foley,0,Mrs J Harrington,5th,1/2 l,3,9-6t1,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Truly Kodi (IRE),R C Colgan,0,S Lavery,4th,1/2 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Old Faithful (FR),R L Moore,0,A P O'Brien,3rd,4 3/4 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Marty The Party (IRE),J M Sheridan,0,J A Stack,2nd,3/4 l,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 14:35,N/A,14:35,Heavy  (Turf),7f,Procrastinate,W J Lee,0,P Twomey,1st,N/A,3,9-6,-,True,105,11
Curragh Racing Results | 18th March 2024 15:10,N/A,15:10,Heavy,7f,Eirinn Rua (IRE),K J Leonard,0,D A McLoughlin,NR,N/A,4,10-2t,-,True,105,12
Curragh Racing Results | 18th March 2024 15:10,N/A,15:10,Heavy,7f,Walkswiththestars (IRE),J A Heffernan,0,Kevin Coleman,18th,1 3/4 l,3,9-1,-,True,105,12
Curragh Racing Results | 18th March 2024 15:10,N/A,15:10,Heavy,7f,Charli Sands (IRE),B M Coen,0,Yvonne Latta,17th,4 1/4 l,4,10-2,-,True,105,12
Curragh Racing Results | 18th March 2024 15:10,N/A,15:10,Heavy,7f,Decorated Princess (IRE),Adam Caffrey,5,A Sexton,16th,1/2 l,3,9-1,-,True,105,12
Curragh Racing Results | 18th March 2024 15:10,N/A,15:10,Heavy,7f,Pearl Of Cotai (IRE),G M Ryan,0,P J F Murphy,15th,4 1/2 l,4,10-2,-,True,105,12
