track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Affogato (IRE),C. T. Keane,0,G. M. Lyons,6th,1 1/4 l,3,9-1,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Star Girls Aalmal (IRE),C. D. Hayes,0,Henry de Bromhead,5th,Head,3,9-1,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Diadora (IRE),William James Lee,0,P. Twomey,4th,3 1/4 l,4,9-9v,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Surrounding (IRE),R. P. Whelan,0,M. Halford,3rd,1 1/4 l,9,9-9t,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Nectaris (JPN),Shane Foley,0,Mrs J. Harrington,2nd,Nose,3,9-1,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Marbling,G. F. Carroll,0,G. M. Lyons,1st,N/A,5,9-9,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Perfect Thunder,Declan McDonogh,0,Joseph Patrick O'Brien,8th,3 3/4 l,3,9-1,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Emphatic Answer (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,7th,1 3/4 l,4,9-9,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Affogato (IRE),C. T. Keane,0,G. M. Lyons,6th,1 1/4 l,3,9-1,-,True,8,6
Fairyhouse Racing Results | 10th July 2022 16:15,N/A,16:15,Good,7f,Star Girls Aalmal (IRE),C. D. Hayes,0,Henry de Bromhead,5th,Head,3,9-1,-,True,8,6
