track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Dee's Getaway (IRE),C G O'Dwyer,5,J P Dempsey,8th,18 l,4,11-2,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Game Eagle (IRE),P K Donovan,5,A Slattery,7th,10 l,4,11-9,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Brilliant Light,P Hanlon,7,J J Hanlon,6th,8 1/2 l,7,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Jasko Des Dames (FR),Rachael Blackmore,0,H De Bromhead,5th,2 1/2 l,5,11-12t,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Apple's Of Bresil (FR),M J M O'Sullivan,0,B Connell,4th,1 l,6,11-12t,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Arabian Diamond (IRE),J W Kennedy,0,G Elliott,3rd,4 1/4 l,6,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Hipop De Loire (FR),P Townend,0,W P Mullins,2nd,1 3/4 l,7,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Jackfinbar (FR),D E Mullins,0,W P Mullins,1st,N/A,9,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Cotai Star (IRE),J S McGarvey,0,J J Hanlon,NR,N/A,5,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Her Self (IRE),P J O'Hanlon,0,M Hourigan,UR,N/A,4,11-2,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Real Empire,Shane Fenelon,7,J J Hanlon,UR,N/A,4,11-9,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Golden Regal (IRE),J J Slevin,0,S G O'Donnell,UR,N/A,5,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Macantuile (IRE),T Joseph Kelly,7,Leonard Flynn,17th,24 l,4,11-9,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Matter Of Opinion (IRE),M P Walsh,0,J P Dempsey,16th,40 l,4,11-9,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Mr Macallum (IRE),D King,0,Mrs C O'Leary,15th,4 1/2 l,4,11-9t,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Southern Point (IRE),Mr J Aherne,7,A O'Grady,14th,7 l,6,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Forgothekeys (IRE),T Ryan,5,J F Gleeson,13th,18 l,5,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Bookem Danno (IRE),D A Kidd,7,J C McConnell,12th,5 l,7,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Never Present (IRE),B W Harvey,0,J C McConnell,11th,1 1/4 l,6,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Nicolas Fortune (IRE),R P Geoghegan,7,K A Heffernan,10th,21 l,6,11-5t,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Val Venus (IRE),P T Enright,0,P Hurley,9th,17 l,6,11-12h,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Dee's Getaway (IRE),C G O'Dwyer,5,J P Dempsey,8th,18 l,4,11-2,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Game Eagle (IRE),P K Donovan,5,A Slattery,7th,10 l,4,11-9,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Brilliant Light,P Hanlon,7,J J Hanlon,6th,8 1/2 l,7,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Jasko Des Dames (FR),Rachael Blackmore,0,H De Bromhead,5th,2 1/2 l,5,11-12t,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Apple's Of Bresil (FR),M J M O'Sullivan,0,B Connell,4th,1 l,6,11-12t,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Arabian Diamond (IRE),J W Kennedy,0,G Elliott,3rd,4 1/4 l,6,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Hipop De Loire (FR),P Townend,0,W P Mullins,2nd,1 3/4 l,7,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 13:55,N/A,13:55,Yielding,2m 175y,Jackfinbar (FR),D E Mullins,0,W P Mullins,1st,N/A,9,11-12,-,True,131,25
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Born Braver (IRE),Non Runner,5,G P Cromwell,NR,N/A,6,11-0p1,130,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Golden Temple (IRE),D J O'Keeffe,0,N Meade,NR,N/A,4,10-6tb,126,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Billericay Dickie (IRE),P Townend,0,W P Mullins,PU,N/A,5,10-12t,128,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Cash Back (FR),M J M O'Sullivan,0,J C McConnell,PU,N/A,12,11-2h,132,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Bardenstown Lad,C Stone-Walsh,5,G P Cromwell,PU,N/A,9,11-4p,134,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Mt Leinster (IRE),B W Harvey,0,J C McConnell,PU,N/A,10,11-3p,133,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Toto Too (IRE),K M Donoghue,0,G P Cromwell,PU,N/A,7,11-2,132,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Teed Up (IRE),D Meyler,0,E Mullins,13th,47 l,7,10-11,127,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Baltic Bird,O R Brown,5,W Durkan,12th,3 1/2 l,5,10-11,127,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Dartan,D E Mullins,0,M J Smith,11th,3/4 l,7,11-8tb,138,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Whatcouldhavebeen (IRE),A P Kelly,0,J P Fahey,10th,3 3/4 l,6,11-7p,137,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Zeeband (IRE),J G Gilligan,7,P J Gilligan,9th,8 l,7,11-3t,133,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Anna Bunina (FR),A Harvey,7,J C McConnell,8th,3/4 l,8,11-0t,130,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Moonovercloon (IRE),J Smith,7,M J Smith,7th,14 l,7,10-12,128,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Building Bridges,Mr O McGill,7,Gary McGill,6th,2 1/2 l,8,10-11,127,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Happy Jacky (IRE),P T Smithers,0,M Fahey,5th,1 l,10,11-10,140,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Beacon Edge (IRE),J W Kennedy,0,G Elliott,4th,1 1/2 l,10,11-12,142,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Comfort Zone (IRE),S D Torrens,0,J P O'Brien,3rd,1 1/2 l,5,10-13p1,129,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,So Scottish (FR),M P Walsh,0,E Mullins,2nd,1/2 l,7,10-13p,129,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,The Wallpark (IRE),Sam Ewing,0,G Elliott,1st,N/A,6,11-7,137,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Born Braver (IRE),Non Runner,5,G P Cromwell,NR,N/A,6,11-0p1,130,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Golden Temple (IRE),D J O'Keeffe,0,N Meade,NR,N/A,4,10-6tb,126,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Billericay Dickie (IRE),P Townend,0,W P Mullins,PU,N/A,5,10-12t,128,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Cash Back (FR),M J M O'Sullivan,0,J C McConnell,PU,N/A,12,11-2h,132,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Bardenstown Lad,C Stone-Walsh,5,G P Cromwell,PU,N/A,9,11-4p,134,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Mt Leinster (IRE),B W Harvey,0,J C McConnell,PU,N/A,10,11-3p,133,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Toto Too (IRE),K M Donoghue,0,G P Cromwell,PU,N/A,7,11-2,132,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Teed Up (IRE),D Meyler,0,E Mullins,13th,47 l,7,10-11,127,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Baltic Bird,O R Brown,5,W Durkan,12th,3 1/2 l,5,10-11,127,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Dartan,D E Mullins,0,M J Smith,11th,3/4 l,7,11-8tb,138,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Whatcouldhavebeen (IRE),A P Kelly,0,J P Fahey,10th,3 3/4 l,6,11-7p,137,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Zeeband (IRE),J G Gilligan,7,P J Gilligan,9th,8 l,7,11-3t,133,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Anna Bunina (FR),A Harvey,7,J C McConnell,8th,3/4 l,8,11-0t,130,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Moonovercloon (IRE),J Smith,7,M J Smith,7th,14 l,7,10-12,128,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Building Bridges,Mr O McGill,7,Gary McGill,6th,2 1/2 l,8,10-11,127,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Happy Jacky (IRE),P T Smithers,0,M Fahey,5th,1 l,10,11-10,140,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Beacon Edge (IRE),J W Kennedy,0,G Elliott,4th,1 1/2 l,10,11-12,142,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,Comfort Zone (IRE),S D Torrens,0,J P O'Brien,3rd,1 1/2 l,5,10-13p1,129,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,So Scottish (FR),M P Walsh,0,E Mullins,2nd,1/2 l,7,10-13p,129,True,131,26
Galway Racing Results | 3rd August 2024 14:30,N/A,14:30,Yielding,2m 6f 108y,The Wallpark (IRE),Sam Ewing,0,G Elliott,1st,N/A,6,11-7,137,True,131,26
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Delta,D McMonagle,0,J P O'Brien,6th,3/4 l,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,You Are Mine (IRE),J A Heffernan,0,J A Stack,5th,1 1/4 l,2,9-2,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Senior Montecristo,C T Keane,0,Kevin Coleman,4th,9 l,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Tennessee Stud (IRE),D P McDonogh,0,J P O'Brien,3rd,Head,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Starry Desert,S Foley,0,Mrs J Harrington,2nd,4 l,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Puppet Master (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Delta,D McMonagle,0,J P O'Brien,6th,3/4 l,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,You Are Mine (IRE),J A Heffernan,0,J A Stack,5th,1 1/4 l,2,9-2,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Senior Montecristo,C T Keane,0,Kevin Coleman,4th,9 l,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Tennessee Stud (IRE),D P McDonogh,0,J P O'Brien,3rd,Head,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Starry Desert,S Foley,0,Mrs J Harrington,2nd,4 l,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:05,N/A,15:05,Soft,1m 73y,Puppet Master (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-7,-,True,131,27
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Madam Alkaterina (IRE),W Joyce,5,M Hourigan,16th,3 1/2 l,3,9-3,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Bid Up (IRE),N M Crosse,0,R O'Sullivan,15th,23 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Redemptive Power (IRE),G F Carroll,0,G P Cromwell,14th,1 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Threehavenine (IRE),J J G Ryan,5,P Stafford,13th,1 1/2 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Audscar,Siobhan Rutledge,3,J C McConnell,12th,3/4 l,4,9-10,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Thompson Gunner (IRE),R C Colgan,0,Cian Hughes,11th,1/2 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,The Real Screamer (IRE),L F Roche,0,P W Flynn,10th,1 3/4 l,3,9-8t1,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Thefutureisnow (IRE),J A Heffernan,0,M Hourigan,9th,4 1/2 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Tribal Moon (IRE),S T McCullagh,3,Daniel Murphy,8th,2 1/2 l,3,9-8t1,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Task Ahead (IRE),D W O'Connor,0,J C McConnell,7th,3 3/4 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Woottonpassit,G M Ryan,0,M Brassil,6th,3 1/4 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Thequietman,D McMonagle,0,J P O'Brien,5th,3/4 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,El Regalo (IRE),S Foley,0,E Mullins,4th,5 1/2 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Newtown Duke (IRE),C D Hayes,0,D K Weld,3rd,1 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Vadali (IRE),C T Keane,0,M Halford & T Collins,2nd,1/2 l,3,9-8h1,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Flying Bay (IRE),B M Coen,0,A Kinirons,1st,N/A,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Madam Alkaterina (IRE),W Joyce,5,M Hourigan,16th,3 1/2 l,3,9-3,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Bid Up (IRE),N M Crosse,0,R O'Sullivan,15th,23 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Redemptive Power (IRE),G F Carroll,0,G P Cromwell,14th,1 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Threehavenine (IRE),J J G Ryan,5,P Stafford,13th,1 1/2 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Audscar,Siobhan Rutledge,3,J C McConnell,12th,3/4 l,4,9-10,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Thompson Gunner (IRE),R C Colgan,0,Cian Hughes,11th,1/2 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,The Real Screamer (IRE),L F Roche,0,P W Flynn,10th,1 3/4 l,3,9-8t1,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Thefutureisnow (IRE),J A Heffernan,0,M Hourigan,9th,4 1/2 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Tribal Moon (IRE),S T McCullagh,3,Daniel Murphy,8th,2 1/2 l,3,9-8t1,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Task Ahead (IRE),D W O'Connor,0,J C McConnell,7th,3 3/4 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Woottonpassit,G M Ryan,0,M Brassil,6th,3 1/4 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Thequietman,D McMonagle,0,J P O'Brien,5th,3/4 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,El Regalo (IRE),S Foley,0,E Mullins,4th,5 1/2 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Newtown Duke (IRE),C D Hayes,0,D K Weld,3rd,1 l,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Vadali (IRE),C T Keane,0,M Halford & T Collins,2nd,1/2 l,3,9-8h1,-,True,131,28
Galway Racing Results | 3rd August 2024 15:40,N/A,15:40,Soft,1m 73y,Flying Bay (IRE),B M Coen,0,A Kinirons,1st,N/A,3,9-8,-,True,131,28
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Abraham Answer (IRE),D E Sheehy,0,M C Grassick,NR,N/A,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Boutella,L T McAteer,0,D Marnane,NR,N/A,2,8-11,65,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Movin And Groovin (IRE),R P Cleary,0,A McGuinness,12th,1 l,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Eric Lock,C T Keane,0,N Meade,11th,3 1/2 l,2,9-1p1,69,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Faire La Nouba (IRE),M W Hassett,5,John F O'Neill,10th,Neck,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,She's Ideal (IRE),J M Sheridan,0,J Davison,9th,1 1/2 l,2,8-10,64,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Barton Key (IRE),H J Horgan,5,J P O'Brien,8th,Nose,2,9-6,74,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Churchill Gale (IRE),J J G Ryan,5,T G McCourt,7th,1/2 l,2,8-8tp1,62,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,King Thistle,B M Coen,0,J P Murtagh,6th,3 1/4 l,2,9-10,78,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Sunriseontheboyne (IRE),C D Hayes,0,M Mulvany,5th,1/2 l,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Gangsta Man (IRE),G F Carroll,0,K Smith,4th,2 1/4 l,2,9-2,70,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,James The Second (IRE),W Joyce,5,M Mulvany,3rd,1/2 l,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Elzem (IRE),D McMonagle,0,J P O'Brien,2nd,4 1/2 l,2,10-0,82,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Lady O (IRE),S Foley,0,Mrs J Harrington,1st,N/A,2,9-7p1,75,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Abraham Answer (IRE),D E Sheehy,0,M C Grassick,NR,N/A,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Boutella,L T McAteer,0,D Marnane,NR,N/A,2,8-11,65,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Movin And Groovin (IRE),R P Cleary,0,A McGuinness,12th,1 l,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Eric Lock,C T Keane,0,N Meade,11th,3 1/2 l,2,9-1p1,69,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Faire La Nouba (IRE),M W Hassett,5,John F O'Neill,10th,Neck,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,She's Ideal (IRE),J M Sheridan,0,J Davison,9th,1 1/2 l,2,8-10,64,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Barton Key (IRE),H J Horgan,5,J P O'Brien,8th,Nose,2,9-6,74,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Churchill Gale (IRE),J J G Ryan,5,T G McCourt,7th,1/2 l,2,8-8tp1,62,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,King Thistle,B M Coen,0,J P Murtagh,6th,3 1/4 l,2,9-10,78,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Sunriseontheboyne (IRE),C D Hayes,0,M Mulvany,5th,1/2 l,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Gangsta Man (IRE),G F Carroll,0,K Smith,4th,2 1/4 l,2,9-2,70,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,James The Second (IRE),W Joyce,5,M Mulvany,3rd,1/2 l,2,8-7,61,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Elzem (IRE),D McMonagle,0,J P O'Brien,2nd,4 1/2 l,2,10-0,82,True,131,29
Galway Racing Results | 3rd August 2024 16:15,N/A,16:15,Soft,7f,Lady O (IRE),S Foley,0,Mrs J Harrington,1st,N/A,2,9-7p1,75,True,131,29
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Expound,J M Sheridan,0,D Hogan,NR,N/A,5,10-0tp,73,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Shawaamekh,D W O'Connor,0,J F Levins,NR,N/A,10,10-2t,75,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Loingseoir (IRE),D E Sheehy,0,M C Grassick,NR,N/A,8,10-0t,73,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Dragon Of Malta (IRE),S Foley,0,P F O'Donnell,14th,1 l,7,9-11tb,70,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Racing Royalty,N M Crosse,0,G Scott,13th,1 1/2 l,5,9-10b,69,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Mount Ruapehu (IRE),A J Slattery,0,A Slattery,12th,Head,4,10-0t,73,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Perfect Judgement (IRE),C T Keane,0,J Davison,11th,7 1/2 l,3,9-9p,74,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Mile End,B M Coen,0,Ciaran Murphy,10th,Neck,4,10-1b,74,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Royal Pippen (IRE),R P Cleary,0,P Magee,9th,Head,7,10-1p,74,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Drop The Dip (IRE),R Whearty,5,T Gibney,8th,Neck,4,9-11,70,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Lady Arwen,C Horgan,7,C O'Dwyer,7th,3/4 l,5,9-11,70,True,131,30
Galway Racing Results | 3rd August 2024 16:50,N/A,16:50,Soft,7f,Louiescall (IRE),M W Hassett,5,D H Kelly,6th,1 l,3,9-9p1,74,True,131,30
