track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Indie Belle (IRE),J. J. Slevin,0,Robert Widger,1st,N/A,6,10-3t,107,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Optional Mix (IRE),Phillip Enright,0,Eoin Doyle,UR,N/A,7,11-5t1,123,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Pont Aval (FR),P. Townend,0,W. P. Mullins,PU,N/A,10,11-3t1,121,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Western Zara (IRE),Richard Deegan,0,Paul Nolan,PU,N/A,7,11-9,127,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Kalli's Quest (IRE),J. P. Shinnick,7,Terence O'Brien,PU,N/A,10,10-8p,112,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Broomfield Hall (IRE),D. J. Gilligan,7,J. P. Dempsey,F,N/A,8,11-12t,130,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Bonnie Kellie (IRE),Mr A. P. Ryan,7,S. Curling,F,N/A,6,10-4t1,108,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Queen Jane (IRE),Rachael Blackmore,0,Henry de Bromhead,F,N/A,7,11-10t,128,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Secret She Keeps (IRE),M. P. Walsh,0,Henry de Bromhead,5th,4 1/2 l,6,11-2,120,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Shes Some Doll (IRE),D. J. O'Keeffe,0,T. Gibney,4th,5 l,8,10-0t,104,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Lilith (IRE),Rex Dingle,0,Anthony Honeyball,3rd,4 1/4 l,8,10-13tb,117,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Influential Lady (IRE),Kieran Callaghan,7,James M. Barcoe,2nd,15 l,9,10-5,109,True,51,35
N/A,N/A,19:10,Good To Yielding,2m 5f 50y,Indie Belle (IRE),J. J. Slevin,0,Robert Widger,1st,N/A,6,10-3t,107,True,51,35
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Ask Anything (IRE),Mr J. Dunne,7,Gavin Patrick Cromwell,9th,7 l,5,11-7,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Special Cadeau,Mr Pat Taaffe,7,W. P. Mullins,8th,3 3/4 l,5,12-0t1,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Apple's Of Bresil (FR),Mr Finian Maguire,0,Barry Connell,7th,1 l,5,11-7,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Cato's Revenge (IRE),Miss P. Elvin,7,P. J. Rothwell,6th,Neck,6,11-7t,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Great Universe,Mr R. James,7,Martin Brassil,4th,Dead Heat,7,12-0h,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Chosen Witness (IRE),Miss J. Townend,0,W. P. Mullins,4th,3/4 l,6,12-0,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Slade Steel (IRE),Mr J. L. Gleeson,7,Henry de Bromhead,3rd,1 3/4 l,5,12-0,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Dancing City (FR),Mr D. O'Connor,0,W. P. Mullins,2nd,6 l,6,12-0,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Ballyburn (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,5,12-0,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Ask Anything (IRE),Mr J. Dunne,7,Gavin Patrick Cromwell,9th,7 l,5,11-7,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Special Cadeau,Mr Pat Taaffe,7,W. P. Mullins,8th,3 3/4 l,5,12-0t1,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Apple's Of Bresil (FR),Mr Finian Maguire,0,Barry Connell,7th,1 l,5,11-7,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Cato's Revenge (IRE),Miss P. Elvin,7,P. J. Rothwell,6th,Neck,6,11-7t,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Great Universe,Mr R. James,7,Martin Brassil,4th,Dead Heat,7,12-0h,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Chosen Witness (IRE),Miss J. Townend,0,W. P. Mullins,4th,3/4 l,6,12-0,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Slade Steel (IRE),Mr J. L. Gleeson,7,Henry de Bromhead,3rd,1 3/4 l,5,12-0,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Dancing City (FR),Mr D. O'Connor,0,W. P. Mullins,2nd,6 l,6,12-0,-,True,51,36
N/A,N/A,19:45,Good To Yielding  Flat (Turf),2m 40y,Ballyburn (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,5,12-0,-,True,51,36
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Trim To Milan (IRE),Mr J. Dunne,7,Gerard Keane,UR,N/A,8,11-4t,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Artic Weather (IRE),Mr J. W. Hannon,7,Ian John McCarthy,PU,N/A,7,11-11tb1,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Jet Fighter (IRE),Mr S. Cavanagh,7,Peter Maher,PU,N/A,6,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Speaker Thomas (IRE),Mr T. Hamilton,0,John Joseph Hanlon,PU,N/A,6,11-11p1,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Happy Victory (FR),Mr H. C. Swan,5,Gordon Elliott,F,N/A,6,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Royal Juniper (IRE),Mr D. O'Connor,0,A. J. Martin,7th,3 3/4 l,7,11-11t,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,An Droichead Gorm (IRE),Mr B. O'Neill,0,Peter Maher,6th,10 l,10,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Keenaghan Lass (IRE),Mr T. P. Harney,7,T. F. Shaw,5th,8 l,9,11-4,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Chateau Elan (IRE),Mr I. Cribbin,7,Ross O'Sullivan,4th,1 1/4 l,6,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Lesssaidthebetter,Mr T. Power Roche,7,P. J. Rothwell,3rd,16 l,9,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Matthews Hill (IRE),Mr J. W. Hendrick,7,Peter John Flood,2nd,2 1/2 l,7,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Fr Gilligansvoyge,Mr Pat Taaffe,7,John G. Carr,1st,N/A,10,11-11tv,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Trim To Milan (IRE),Mr J. Dunne,7,Gerard Keane,UR,N/A,8,11-4t,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Artic Weather (IRE),Mr J. W. Hannon,7,Ian John McCarthy,PU,N/A,7,11-11tb1,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Jet Fighter (IRE),Mr S. Cavanagh,7,Peter Maher,PU,N/A,6,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Speaker Thomas (IRE),Mr T. Hamilton,0,John Joseph Hanlon,PU,N/A,6,11-11p1,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Happy Victory (FR),Mr H. C. Swan,5,Gordon Elliott,F,N/A,6,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Royal Juniper (IRE),Mr D. O'Connor,0,A. J. Martin,7th,3 3/4 l,7,11-11t,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,An Droichead Gorm (IRE),Mr B. O'Neill,0,Peter Maher,6th,10 l,10,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Keenaghan Lass (IRE),Mr T. P. Harney,7,T. F. Shaw,5th,8 l,9,11-4,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Chateau Elan (IRE),Mr I. Cribbin,7,Ross O'Sullivan,4th,1 1/4 l,6,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Lesssaidthebetter,Mr T. Power Roche,7,P. J. Rothwell,3rd,16 l,9,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Matthews Hill (IRE),Mr J. W. Hendrick,7,Peter John Flood,2nd,2 1/2 l,7,11-11,-,True,51,37
N/A,N/A,15:40,Yielding (Good Tio Yielding In Places),2m 5f,Fr Gilligansvoyge,Mr Pat Taaffe,7,John G. Carr,1st,N/A,10,11-11tv,-,True,51,37
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,So Scottish (FR),M. P. Walsh,0,Emmet Mullins,UR,N/A,6,11-2,138,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Aarons Day (IRE),Phillip Enright,0,Oliver McKiernan,PU,N/A,9,10-8t,130,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Adamantly Chosen (IRE),Jack Foley,0,W. P. Mullins,PU,N/A,6,11-12,148,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Carrig Sam (IRE),D. J. O'Keeffe,0,A. L. T. Moore,PU,N/A,7,10-3,125,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Hallowed Star (IRE),J. S. McGarvey,0,John Joseph Hanlon,F,N/A,8,11-0,136,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Largy Debut (IRE),Donagh Meyler,0,Henry de Bromhead,9th,22 l,8,10-13,135,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Sit Down Lucy (IRE),Sean Flanagan,0,Peter Fahey,8th,5 1/2 l,9,10-6,128,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Slip Of The Tongue (IRE),S. D. Torrens,0,Padraig Roche,7th,2 l,6,10-10,132,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Authorized Art (FR),D. E. Mullins,0,W. P. Mullins,6th,4 1/2 l,8,11-12,148,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Tullybeg (IRE),D. J. Gilligan,7,Gordon Elliott,5th,4 l,8,10-13t,135,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Grandero Bello (FR),R. A. Doyle,0,Eddie & Patrick Harty,4th,7 l,7,11-3t1,139,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Life In The Park (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,3/4 l,6,11-2,138,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Jody Ted (IRE),S. F. O'Keeffe,0,Eoin Griffin,2nd,15 l,7,10-3,125,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Kilcruit (IRE),P. Townend,0,W. P. Mullins,1st,N/A,8,11-12,148,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,So Scottish (FR),M. P. Walsh,0,Emmet Mullins,UR,N/A,6,11-2,138,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Aarons Day (IRE),Phillip Enright,0,Oliver McKiernan,PU,N/A,9,10-8t,130,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Adamantly Chosen (IRE),Jack Foley,0,W. P. Mullins,PU,N/A,6,11-12,148,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Carrig Sam (IRE),D. J. O'Keeffe,0,A. L. T. Moore,PU,N/A,7,10-3,125,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Hallowed Star (IRE),J. S. McGarvey,0,John Joseph Hanlon,F,N/A,8,11-0,136,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Largy Debut (IRE),Donagh Meyler,0,Henry de Bromhead,9th,22 l,8,10-13,135,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Sit Down Lucy (IRE),Sean Flanagan,0,Peter Fahey,8th,5 1/2 l,9,10-6,128,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Slip Of The Tongue (IRE),S. D. Torrens,0,Padraig Roche,7th,2 l,6,10-10,132,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Authorized Art (FR),D. E. Mullins,0,W. P. Mullins,6th,4 1/2 l,8,11-12,148,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Tullybeg (IRE),D. J. Gilligan,7,Gordon Elliott,5th,4 l,8,10-13t,135,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Grandero Bello (FR),R. A. Doyle,0,Eddie & Patrick Harty,4th,7 l,7,11-3t1,139,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Life In The Park (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,3/4 l,6,11-2,138,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Jody Ted (IRE),S. F. O'Keeffe,0,Eoin Griffin,2nd,15 l,7,10-3,125,True,51,38
N/A,N/A,16:15,Yielding (Good Tio Yielding In Places),2m 5f,Kilcruit (IRE),P. Townend,0,W. P. Mullins,1st,N/A,8,11-12,148,True,51,38
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Riviere D'etel (FR),Keith Donoghue,0,Gordon Elliott,PU,N/A,6,11-3,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Echoes Of Family (IRE),J. J. Slevin,0,Eddie & Patrick Harty,F,N/A,11,10-12,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Elimay (FR),S. D. Torrens,0,W. P. Mullins,4th,2 1/2 l,9,11-3tb,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Allegorie De Vassy (FR),P. Townend,0,W. P. Mullins,3rd,6 1/2 l,6,11-3t,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Instit (FR),D. E. Mullins,0,W. P. Mullins,2nd,11 l,5,10-12h,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Impervious (IRE),B. Hayes,0,Colm A. Murphy,1st,N/A,7,11-3,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Riviere D'etel (FR),Keith Donoghue,0,Gordon Elliott,PU,N/A,6,11-3,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Echoes Of Family (IRE),J. J. Slevin,0,Eddie & Patrick Harty,F,N/A,11,10-12,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Elimay (FR),S. D. Torrens,0,W. P. Mullins,4th,2 1/2 l,9,11-3tb,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Allegorie De Vassy (FR),P. Townend,0,W. P. Mullins,3rd,6 1/2 l,6,11-3t,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Instit (FR),D. E. Mullins,0,W. P. Mullins,2nd,11 l,5,10-12h,-,True,51,39
N/A,N/A,16:50,Yielding (Good Tio Yielding In Places),2m 5f,Impervious (IRE),B. Hayes,0,Colm A. Murphy,1st,N/A,7,11-3,-,True,51,39
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,Amir Kabir,Keith Donoghue,0,Gordon Elliott,5th,4 1/2 l,6,11-12,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,Inothewayurthinkin (IRE),L. P. Dempsey,0,Gavin Patrick Cromwell,4th,9 1/2 l,5,11-12,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,Champ Kiely (IRE),D. E. Mullins,0,W. P. Mullins,3rd,3 1/2 l,7,11-12,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,High Definition (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,2nd,7 1/2 l,5,11-12tp,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,Impaire Et Passe (FR),P. Townend,0,W. P. Mullins,1st,N/A,5,11-12,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,Amir Kabir,Keith Donoghue,0,Gordon Elliott,5th,4 1/2 l,6,11-12,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,Inothewayurthinkin (IRE),L. P. Dempsey,0,Gavin Patrick Cromwell,4th,9 1/2 l,5,11-12,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,Champ Kiely (IRE),D. E. Mullins,0,W. P. Mullins,3rd,3 1/2 l,7,11-12,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,High Definition (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,2nd,7 1/2 l,5,11-12tp,-,True,51,41
N/A,N/A,18:00,Yielding (Good Tio Yielding In Places),2m 3f 80y,Impaire Et Passe (FR),P. Townend,0,W. P. Mullins,1st,N/A,5,11-12,-,True,51,41
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Heliko Conti (FR),D. J. O'Keeffe,0,W. J. Burke,9th,1 1/4 l,6,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Lahinch Three (IRE),Donagh Meyler,0,Emmet Mullins,8th,4 l,7,11-5,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Firm Footings (IRE),D. J. Gilligan,7,Gordon Elliott,7th,3 l,5,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Sa Majeste (FR),B. Hayes,0,W. P. Mullins,6th,5 1/2 l,5,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Night Sparkle (IRE),D. E. Mullins,0,M. D. O'Callaghan,5th,4 l,4,10-4,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Arctic Bresil,Rachael Blackmore,0,Henry de Bromhead,4th,6 l,6,11-12t1,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Uncle Phil (IRE),P. Townend,0,W. P. Mullins,3rd,11 l,6,11-12ht,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Spillane's Tower (IRE),L. P. Dempsey,0,James Joseph Mangan,2nd,2 1/2 l,5,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Monbeg Park (IRE),J. J. Slevin,0,Sean Thomas Doyle,1st,N/A,6,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Heliko Conti (FR),D. J. O'Keeffe,0,W. J. Burke,9th,1 1/4 l,6,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Lahinch Three (IRE),Donagh Meyler,0,Emmet Mullins,8th,4 l,7,11-5,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Firm Footings (IRE),D. J. Gilligan,7,Gordon Elliott,7th,3 l,5,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Sa Majeste (FR),B. Hayes,0,W. P. Mullins,6th,5 1/2 l,5,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Night Sparkle (IRE),D. E. Mullins,0,M. D. O'Callaghan,5th,4 l,4,10-4,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Arctic Bresil,Rachael Blackmore,0,Henry de Bromhead,4th,6 l,6,11-12t1,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Uncle Phil (IRE),P. Townend,0,W. P. Mullins,3rd,11 l,6,11-12ht,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Spillane's Tower (IRE),L. P. Dempsey,0,James Joseph Mangan,2nd,2 1/2 l,5,11-12,-,True,51,43
N/A,N/A,19:10,Yielding (Good Tio Yielding In Places),2m,Monbeg Park (IRE),J. J. Slevin,0,Sean Thomas Doyle,1st,N/A,6,11-12,-,True,51,43
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Shining Flame (IRE),Mr A. Harvey,7,Miss Suzy Barkley,18th,38 l,6,12-0ht1,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Bold Brook (IRE),Mr Finian Maguire,0,Cian Michael Collins,17th,1 3/4 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Getaway George (IRE),Mr N. McParlan,0,Mrs Sarah Dawson,16th,30 l,6,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Petit Dejeuner (IRE),Mr D. McGill,7,Mrs Denise Foster,15th,17 l,5,11-7,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Our Chezney (IRE),Mr J. Dunne,7,Ms Helen P. Markham,14th,5 1/2 l,7,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,One Way Traffic (IRE),Mr J. C. Barry,3,Oliver McKiernan,13th,1 l,6,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Talk In The Park (IRE),Mr T. Hamilton,0,Ms Margaret Mullins,12th,4 1/2 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Ilitch (FR),Mr D. G. Lavery,0,Stuart Crawford,11th,12 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Did I Ask You That (IRE),Mr Pat Taaffe,7,W. P. Mullins,10th,1/2 l,5,12-0t1,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Dorans Law (IRE),Mr E. P. O'Brien,5,M. Hourigan,9th,2 1/2 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Littlefoot (IRE),Mr D. O'Connor,0,Mark Molloy,8th,1/2 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Down Around (IRE),Mr J. W. Hendrick,7,N. Dooly,7th,2 1/2 l,6,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,He's My Hero,Mr B. O'Neill,0,Paul Nolan,6th,1/2 l,5,12-0t,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Lecky Watson (IRE),Mr P. W. Mullins,0,W. P. Mullins,5th,1 3/4 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Quantum Storm (IRE),Mr H. C. Swan,5,Gordon Elliott,4th,1/2 l,6,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Dr Eggman (FR),Miss J. Townend,0,W. P. Mullins,3rd,1 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Irish Panther,Mr J. L. Gleeson,7,E. J. O'Grady,2nd,1/2 l,6,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Walk Away Harry (IRE),Mr R. W. Barron,7,Charles Byrnes,1st,N/A,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Shining Flame (IRE),Mr A. Harvey,7,Miss Suzy Barkley,18th,38 l,6,12-0ht1,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Bold Brook (IRE),Mr Finian Maguire,0,Cian Michael Collins,17th,1 3/4 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Getaway George (IRE),Mr N. McParlan,0,Mrs Sarah Dawson,16th,30 l,6,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Petit Dejeuner (IRE),Mr D. McGill,7,Mrs Denise Foster,15th,17 l,5,11-7,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Our Chezney (IRE),Mr J. Dunne,7,Ms Helen P. Markham,14th,5 1/2 l,7,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,One Way Traffic (IRE),Mr J. C. Barry,3,Oliver McKiernan,13th,1 l,6,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Talk In The Park (IRE),Mr T. Hamilton,0,Ms Margaret Mullins,12th,4 1/2 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Ilitch (FR),Mr D. G. Lavery,0,Stuart Crawford,11th,12 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Did I Ask You That (IRE),Mr Pat Taaffe,7,W. P. Mullins,10th,1/2 l,5,12-0t1,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Dorans Law (IRE),Mr E. P. O'Brien,5,M. Hourigan,9th,2 1/2 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Littlefoot (IRE),Mr D. O'Connor,0,Mark Molloy,8th,1/2 l,5,12-0,-,True,51,44
N/A,N/A,19:45,Yielding (Good Tio Yielding In Places),2m 2f,Down Around (IRE),Mr J. W. Hendrick,7,N. Dooly,7th,2 1/2 l,6,12-0,-,True,51,44
