combo_index,indices,names,tracks,history_count,p_mean,d_mean,expected_net_profit,expected_gross_return,l15_std,l15_sharpe,classification
152,"(0, 147, 152, 60)",unionville|hardstyle|master dandy|canty bay,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.07788600376553491,8.633333333333333,-8.34159285900423,6.658407140995769,40.402067797922896,-0.20646450327062413,NO_L15
153,"(0, 147, 152, 4)",unionville|hardstyle|master dandy|smasher,kempton (aw)|wolverhampton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.07775933731553492,7.633333333333333,-9.40910786292272,5.590892137077279,27.380188198393665,-0.34364657374687924,NO_L15
154,"(0, 147, 60, 4)",unionville|hardstyle|canty bay|smasher,kempton (aw)|wolverhampton (aw)|lingfield|kempton (aw),2|0|0|0,0.07678206106553492,8.383333333333333,-8.788757670196784,6.211242329803218,35.218426411054196,-0.24954998180833568,NO_L15
155,"(0, 1, 2, 152)",unionville|conquest of power|lion city|master dandy,kempton (aw)|kempton (aw)|kempton (aw)|wolverhampton (aw),2|0|0|0,0.07857687549053491,37.625,62.23804922303391,77.23804922303391,2200.521203107609,0.028283321758109128,L15_CANDIDATE
156,"(0, 1, 2, 60)",unionville|conquest of power|lion city|canty bay,kempton (aw)|kempton (aw)|kempton (aw)|lingfield,2|0|0|0,0.07759959924053492,38.375,69.6019975178293,84.6019975178293,2809.433376836271,0.024774389772577118,L15_CANDIDATE
157,"(0, 1, 2, 4)",unionville|conquest of power|lion city|smasher,kempton (aw)|kempton (aw)|kempton (aw)|kempton (aw),2|0|0|0,0.07747293279053491,37.375,57.669827415967305,72.6698274159673,1923.538601566254,0.029981112606219218,L15_CANDIDATE
158,"(0, 1, 152, 60)",unionville|conquest of power|master dandy|canty bay,kempton (aw)|kempton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.07742102191553492,14.75,1.5417530043983159,16.541753004398316,233.78856888194613,0.006594646657753568,L15_CANDIDATE
159,"(0, 1, 152, 4)",unionville|conquest of power|master dandy|smasher,kempton (aw)|kempton (aw)|wolverhampton (aw)|kempton (aw),2|0|0|0,0.07729435546553493,13.75,-0.9034140104220304,14.096585989577969,159.85016475169255,-0.005651630148929607,NO_L15
160,"(0, 1, 60, 4)",unionville|conquest of power|canty bay|smasher,kempton (aw)|kempton (aw)|lingfield|kempton (aw),2|0|0|0,0.0763170792155349,14.5,0.5175119937306265,15.51751199373063,204.28982505041594,0.002533224518660739,L15_CANDIDATE
161,"(0, 2, 152, 60)",unionville|lion city|master dandy|canty bay,kempton (aw)|kempton (aw)|wolverhampton (aw)|lingfield,2|0|0|0,0.0769204286405349,33.5,30.480196357796817,45.48019635779682,860.0304954219133,0.03544083206356986,L15_CANDIDATE
