track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims
Naas,9 Jan 2026,2m,Yielding,Apache Peak,-,Mr L P Shanahan,Ross O'Sullivan,11 -10,4,7
Naas,9 Jan 2026,2m,Yielding,Felix Unger,-,Cian Cullinan,P G Fahey,11 -10,4,7
Naas,9 Jan 2026,2m,Yielding,Hartford,-,Mr H C Swan,Gordon Elliott,11 -10,4,0
Naas,9 Jan 2026,2m,Yielding,Mister Killeens,-,Mr A P Ryan,Andrew Slattery,11 -10,4,5
Naas,9 Jan 2026,2m,Yielding,Quiryn,-,Mr P W Mullins,W P Mullins,11 -10,4,0
Naas,9 Jan 2026,2m,Yielding,The Rock Factor,-,Mr Derek O'Connor,Emmet Mullins,11 -10,4,0
Naas,9 Jan 2026,2m,Yielding,Ballygorey Ruby,-,Michael Kenneally,E Sheehy,11- 3,4,7
Naas,9 Jan 2026,2m,Yielding,Coole Cafe,-,Mr D G Lavery,Gavin Cromwell,11- 3,4,0
Naas,9 Jan 2026,2m,Yielding,Jerpoint Abbey,-,Mr Alan O'Sullivan,Emmet Mullins,11- 3,4,7
Naas,9 Jan 2026,3m1f,Yielding To Soft,Bossofthebrownies,146,Darragh O'Keeffe,M F Morris,11 -10,7,0
Naas,9 Jan 2026,3m1f,Yielding To Soft,Flicker Of Hope,142,Donagh Meyler,Mark Fahey,11 -10,7,0
Naas,9 Jan 2026,3m1f,Yielding To Soft,Prends Garde A Toi,141,James Smith,Gordon Elliott,11 -10,7,5
Naas,9 Jan 2026,3m1f,Yielding To Soft,Hesasmoothoperator,99,Harry Sexton,Thomas Gibney,11- 4,8,7
Naas,9 Jan 2026,3m1f,Yielding To Soft,Zefiro Dodville,108,Michael Kenneally,Adrian Sexton,11- 4,8,7
Naas,9 Jan 2026,3m1f,Yielding To Soft,Kurasso Blue,149,Jack Kennedy,Gordon Elliott,11- 2,5,0
Naas,9 Jan 2026,2m4f,Yielding To Soft,Gaoth Chuil,140,Shane O'Callaghan,T M Walsh,11- 7,8,5
Naas,9 Jan 2026,2m4f,Yielding To Soft,Honey Come Quick,114,Tiernan Power Roche,P J Rothwell,11- 7,7,3
Naas,9 Jan 2026,2m4f,Yielding To Soft,Karamoja,134,Paul Townend,W P Mullins,11- 7,6,0
