track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Yasmina,94,Caoilin Quinn,Andy Irvine,11- 2,6,0
Fontwell,11 Jan 2026 SKY,2m1½f,Soft,2:30,Flame Dancer,-,James Davies,Noel Williams,10- 3,4,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,3:00,Woodythewoodpecker,102,Conor Ring,Evan Williams,12- 0,6,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,3:00,Bobalot,104,Benjamin Macey,Laura Horsfall,11 -12,9,7
Fontwell,11 Jan 2026 SKY,3m2f,Soft,3:00,Fox Cottage,99,Daniel Sansom,Seamus Mullins,11- 4,6,3
Fontwell,11 Jan 2026 SKY,3m2f,Soft,3:00,Mr Griffiths,98,Jonjo O'Neill Jr,Jonjo & A J O'Neill,11- 2,6,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,3:00,Jour d'Orage,96,Conor O'Farrell,Neil Mulholland,10 -13,7,0
Fontwell,11 Jan 2026 SKY,3m2f,Soft,3:00,Happy Returns,100,Bradley Harris,Neil Mulholland,10 -12,9,3
Fontwell,11 Jan 2026 SKY,3m2f,Soft,3:00,Jewel Eyed Judy,102,James Turner,Nigel & Willy Twiston-Davies,10 -11,6,5
Fontwell,11 Jan 2026 SKY,3m2f,Soft,3:00,Wot You Wearing,99,Fern O'Brien,Fergal O'Brien,10 -10,9,5
