track_name,race_date,distance,going,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability
Exeter,9 Jan 2026,2m1½f,Good To Soft,Royal Mer,122,Jack Tudor,David Pipe,11 -11,8,0,True,0.023597283
Exeter,9 Jan 2026,2m½f,Good To Soft,Final Surprise,108,Ciaran Gethings,Alastair Ralph,11- 2,5,0,True,0.023238
Exeter,9 Jan 2026,2m1½f,Good To Soft,Passing Kate,122,Stan Sheppard,Matt Sheppard,11- 7,9,0,True,0.023052733
Exeter,9 Jan 2026,2m3f,Good To Soft,Into The Park,-,Ben Jones,Philip Hobbs & Johnson White,12- 0,7,0,True,0.02296115
Exeter,9 Jan 2026,3m,Good To Soft,Tommy The Tank,-,Charlie Hammond,Dr Richard Newland & Jamie Insole,11- 0,8,0,True,0.021946482
Exeter,9 Jan 2026,2m1½f,Good To Soft,Risk De Pluie,123,Toby McCain-Mitchell,Ben Clarke,12- 0,7,5,True,0.021231804
Exeter,9 Jan 2026,2m5½f,Good To Soft,Benignitas,97,Rian Corcoran,Gordon Treacy,11 -11,9,7,True,0.019880235
Exeter,9 Jan 2026,2m5½f,Good To Soft,Victory Shout,85,Harry Kimber,Syd Hosie,11- 7,5,0,True,0.019835042
Exeter,9 Jan 2026,2m5½f,Good To Soft,Locked Down Lad,95,Taylor Fisher,Joe Tickle,11- 3,6,0,True,0.0191803
Exeter,9 Jan 2026,2m5½f,Good To Soft,Olivia Kate,99,Stan Sheppard,Matt Sheppard,11- 8,7,0,True,0.019028429
Exeter,9 Jan 2026,2m½f,Good To Soft,Lirone Du Seuil,97,Harry Skelton,Dan Skelton,11- 8,5,0,True,0.018950589
Exeter,9 Jan 2026,2m5½f,Good To Soft,Directly,99,Ben Jones,Samuel Drinkwater,11- 9,7,0,True,0.018831888
Exeter,9 Jan 2026,2m1½f,Good To Soft,Alto Alto,118,Freddie Gordon,Chris Gordon,11 -11,9,0,True,0.018513523
Exeter,9 Jan 2026,2m5½f,Good To Soft,Storming Nelson,101,Lucy Gardner,Sue Gardner,11- 5,7,0,True,0.018290758
Exeter,9 Jan 2026,2m1½f,Good To Soft,Haas Boy,120,Harry Cobden,Chester Williams,11- 8,9,0,True,0.018208193
Exeter,9 Jan 2026,2m5½f,Good To Soft,Iamcelestialgift,99,Kielan Woods,David Killahena & Graeme McPherson,11 -12,8,0,True,0.018109245
Exeter,9 Jan 2026,2m½f,Good To Soft,Lady Dapple Rose,103,James Best,Harriet Dickin,11- 1,5,0,True,0.01789406
Exeter,9 Jan 2026,2m5½f,Good To Soft,Whatmakes Honey B,102,Chad Bament,Harriet Brown,11- 4,7,7,True,0.017697595
Exeter,9 Jan 2026,2m5½f,Good To Soft,Prairie Diamond,102,Freddie Keighley,Martin Keighley,11- 7,7,7,True,0.01765111
Exeter,9 Jan 2026,2m5½f,Good To Soft,Iris Des Issards,100,Harry Cobden,Kayley Woollacott,12- 0,8,0,True,0.017322207
Exeter,9 Jan 2026,2m5½f,Good To Soft,Moorland Rambler,101,Ciaran Gethings,Jane Williams,12- 0,8,0,True,0.017283712
Exeter,9 Jan 2026,2m½f,Good To Soft,Johnny's Jury,122,Gavin Sheehan,Jamie Snowden,11- 8,6,0,True,0.017194444
Exeter,9 Jan 2026,2m5½f,Good To Soft,Robber's Bridge,102,Brendan Powell,Dan Horsford,11 -13,8,0,True,0.017071893
Exeter,9 Jan 2026,2m5½f,Good To Soft,Getaway With You,103,Nick Slatter,David Killahena & Graeme McPherson,11 -10,8,3,True,0.017071558
Exeter,9 Jan 2026,2m5½f,Good To Soft,Shuil Ceoil,103,Bradley Harris,Neil Mulholland,11 -12,8,3,True,0.017017664
Exeter,9 Jan 2026,2m5½f,Good To Soft,Largy Panic,93,Toby McCain-Mitchell,Ben Clarke,11- 9,6,5,True,0.016893573
Exeter,9 Jan 2026,2m5½f,Good To Soft,It's A Breeze,101,Jay Tidball,Paul Nicholls,11 -13,7,5,True,0.01650494
Exeter,9 Jan 2026,2m½f,Good To Soft,Eton Mes,97,Jack Tudor,David Pipe,11- 8,5,0,True,0.015556757
Exeter,9 Jan 2026,2m7f,Good To Soft,Call Me Legend,109,Murray Dodd,Philip Hobbs & Johnson White,11 -12,6,0,True,0.01522138
Exeter,9 Jan 2026,2m7f,Good To Soft,Crossgales King,105,Harry Atkins,Syd Hosie,11 -12,6,0,True,0.015118966
Exeter,9 Jan 2026,2m7f,Good To Soft,Gillespie,110,Freddie Keighley,Paul Nicholls,11 -12,6,3,True,0.015028816
Exeter,9 Jan 2026,3m,Good To Soft,First Confession,141,Brendan Powell,Joe Tizzard,11- 7,7,0,True,0.014695215
Exeter,9 Jan 2026,3m,Good To Soft,Wicked Thoughts,139,Harry Cobden,Paul Nicholls,11- 1,7,0,True,0.014385743
Exeter,9 Jan 2026,3m,Good To Soft,Saint Anapolino,137,Sean Houlihan,Philip Hobbs & Johnson White,11- 3,7,0,True,0.013645683
Exeter,9 Jan 2026,2m7f,Good To Soft,Tzarmix,111,Toby McCain-Mitchell,Alastair Ralph,11 -11,8,0,True,0.013466748
Exeter,9 Jan 2026,2m7f,Good To Soft,Looking For Larry,106,Oscar Palmer,Tim Dennis,11- 8,8,3,True,0.0132074
Exeter,9 Jan 2026,2m3f,Good To Soft,Boyles Hill,104,Conor Ring,Evan Williams,10 -10,7,0,True,0.012895308
Exeter,9 Jan 2026,2m7f,Good To Soft,Braganza Bay,111,Will Featherstone,Henry Daly,10 -11,9,0,True,0.012835061
Exeter,9 Jan 2026,2m7f,Good To Soft,Bampton Star,104,Chad Bament,Jeremy Scott,10 -11,9,0,True,0.012739052
Exeter,9 Jan 2026,3m,Good To Soft,Toss Of A Coin,142,Jay Tidball,Alan Jones,11 -10,8,5,True,0.012648742
Exeter,9 Jan 2026,2m3f,Good To Soft,Mount Tempest,126,Conor Rabbitt,Sophie Leech,12- 2,9,3,True,0.01209871
