track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,win_probability,actual_position,Race_id,inferred_position
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Al Muzn,-,Silvestre De Sousa,Salman Al Sabri,9- 8,6,0,True,0.03403352,5,Jebel Ali_2026-01-10_11:00,11
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Trip To Rome,-,Qais Bin Saif Al Busaidi,Osama Refai,8 -10,6,0,True,0.03403352,2,Jebel Ali_2026-01-10_11:00,12
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Split The Profit,-,Ray Dawson,Salman Al Sabri,9- 3,5,0,True,0.028007448,9,Jebel Ali_2026-01-10_11:00,13
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Charming Life,-,Kieran Shoemark,Musabbeh Al Mheiri,9- 8,4,0,True,0.026525304,12,Jebel Ali_2026-01-10_11:00,14
Jebel Ali,10 Jan 2026 Dirt,6f,,11:00,Odai,-,Charlie Bennett,Osama Refai,9- 1,4,0,True,0.026525304,8,Jebel Ali_2026-01-10_11:00,15
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Rawy,-,Pat Dobbs,Doug Watson,9- 2,7,0,True,0.052997913,2,Jebel Ali_2026-01-10_11:30,1
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Sirdin,-,Jules Mobian,Abubakar Daud,8- 5,7,0,True,0.052085627,,Jebel Ali_2026-01-10_11:30,2
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Indicate,-,Bernardo Pinheiro,Salem bin Ghadayer,8- 8,5,0,True,0.0471562,1,Jebel Ali_2026-01-10_11:30,3
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Turjman,-,Silvestre De Sousa,Michael Costa,9- 5,5,0,True,0.043425947,3,Jebel Ali_2026-01-10_11:30,4
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Tawalla,-,NON-RUNNER,Michael Costa,9 -11,6,0,True,0.038235784,,Jebel Ali_2026-01-10_11:30,5
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Major Cinnamon,-,Tadhg O'Shea,Marwan Al Baidhaei,9- 0,9,0,True,0.03811272,4,Jebel Ali_2026-01-10_11:30,6
Jebel Ali,10 Jan 2026 Dirt,5f,,11:30,Second Name,-,Sandro Paiva,Salman Al Sabri,8- 5,5,0,True,0.030772286,5,Jebel Ali_2026-01-10_11:30,7
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Excel Power,-,Bernardo Pinheiro,Salem bin Ghadayer,9- 8,8,0,True,0.051601708,1,Jebel Ali_2026-01-10_12:00,1
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Poster Paint,-,Tadhg O'Shea,Bhupat Seemar,9- 6,7,0,True,0.04918175,7,Jebel Ali_2026-01-10_12:00,2
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Vocalizer,-,Jose Santiago,Salem bin Ghadayer,8- 7,4,0,True,0.04137038,9,Jebel Ali_2026-01-10_12:00,3
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Daneyan,-,Jesus Rosales,Ahmed Al Neyadi,8- 5,11,0,True,0.040748276,11,Jebel Ali_2026-01-10_12:00,4
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Goldspur,-,Hamed Al Busaidi,Qaiss Aboud,9- 8,7,6,True,0.039738342,4,Jebel Ali_2026-01-10_12:00,5
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Kibo Misaki,-,Qais Bin Saif Al Busaidi,Salem bin Ghadayer,9- 5,5,0,True,0.039005265,10,Jebel Ali_2026-01-10_12:00,6
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Muntasir,-,Sam Hitchcott,A bin Harmash,8 -13,5,0,True,0.038918044,3,Jebel Ali_2026-01-10_12:00,7
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Dubai Welcome,-,Saif Al Balushi,Mohammed Al Mahrooqi,8 -11,9,0,True,0.038747918,12,Jebel Ali_2026-01-10_12:00,8
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Magic Petition,-,Connor Beasley,A bin Harmash,9 -11,6,0,True,0.035749625,6,Jebel Ali_2026-01-10_12:00,9
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Frostfire,-,Kieran Shoemark,Musabbeh Al Mheiri,9 -10,4,0,True,0.035464004,,Jebel Ali_2026-01-10_12:00,10
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Don Pelicano,-,Francisco Goncalves,Antonio Cintra & Julio Olascoaga,9- 1,3,0,True,0.03139868,2,Jebel Ali_2026-01-10_12:00,11
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Moonshiner,-,Richard Mullen,Antonio Cintra & Julio Olascoaga,9- 6,4,0,True,0.03005585,5,Jebel Ali_2026-01-10_12:00,12
Jebel Ali,10 Jan 2026 Dirt,1m1f,,12:00,Hot Property,-,Silvestre De Sousa,Doug Watson,9- 4,4,0,True,0.03005585,8,Jebel Ali_2026-01-10_12:00,13
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Wraithy,-,Bernardo Pinheiro,Salem bin Ghadayer,9- 0,4,0,True,0.059829984,10,Jebel Ali_2026-01-10_12:30,1
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Pizarro,-,Tadhg O'Shea,Bhupat Seemar,9- 0,5,0,True,0.046991207,8,Jebel Ali_2026-01-10_12:30,2
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Velvet Cactus,-,Jose Santiago,Salem bin Ghadayer,9- 0,5,0,True,0.046991207,13,Jebel Ali_2026-01-10_12:30,3
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Algheed,-,Jules Mobian,Abubakar Daud,8- 9,5,0,True,0.046991207,,Jebel Ali_2026-01-10_12:30,4
Jebel Ali,10 Jan 2026 Dirt,1m,,12:30,Nukanan,-,Charlie Bennett,Osama Refai,9- 0,5,0,True,0.04467204,9,Jebel Ali_2026-01-10_12:30,5
