horse_name,odds_live,odds_1,odds_2,odds_3,odds_4,trend
Moments In Time,-,9.45,12.40,12.35,12.30,drifting
Helene Feeling,-,7.20,10.35,10.60,10.65,drifting
Ensued,-,29.95,20.60,20.45,20.30,shortening
Hong Lok Golf,-,6.10,4.30,4.25,4.35,shortening
Encountered,-,9.20,8.45,8.55,8.75,stable
Speed Dragon,-,6.85,6.80,6.85,6.90,stable
Kaholo Angel,-,38.65,25.60,25.70,25.45,shortening
Huge Wave,-,6.55,6.30,6.35,6.45,stable
Awesome Fluke,-,18.15,18.55,18.45,18.35,stable
Winning Wing,-,11.05,9.25,9.05,9.00,shortening
Magic Control,10.20,12.20,12.35,12.50,12.55,drifting
Storm Rider,5.55,5.45,5.70,5.80,5.70,stable
Son Pak Fu,13.75,12.70,12.40,12.50,12.45,shortening
Superb Capitalist,32.45,22.50,23.00,24.70,25.25,shortening
Youthful Spirits,29.65,29.80,23.90,24.25,24.00,shortening
Brave Star,12.80,13.95,14.35,13.95,14.00,drifting
Crimson Flash,7.45,7.50,7.45,7.70,8.05,drifting
Packing Bole,34.50,24.10,24.80,24.15,22.85,shortening
Harmony N Blessed,42.85,27.35,27.60,27.00,27.60,shortening
Masterofmyuniverse,12.15,10.90,10.85,10.90,11.15,shortening
Regal Gem,4.15,4.10,3.95,4.00,4.15,stable
Gustosisimo,5.90,5.95,5.70,5.55,5.45,shortening
Wonder Kit,28.10,27.95,27.10,26.40,26.30,shortening
King Miles,21.90,23.35,25.25,25.40,26.70,drifting
Symbol Of Strength,18.10,17.85,17.55,17.05,17.10,shortening
Power Koepp,27.15,28.50,29.85,29.35,29.80,drifting
Sports Legend,4.75,4.55,4.35,4.20,4.10,shortening
Perfectday,3.55,3.75,3.70,3.65,3.60,stable
Sugar Sugar,15.65,15.15,14.85,14.55,14.80,shortening
Always Ahead,32.35,32.65,33.40,32.65,31.70,stable
Friends Of Shajing,4.15,4.25,4.15,4.20,4.15,stable
Ryui Kokoroe,38.95,40.65,41.65,40.65,41.15,drifting
Mighty Commander,14.25,14.40,14.65,14.40,14.35,stable
California Blitz,8.60,8.70,9.55,9.60,10.10,drifting
Romantic Laos,,,,,,no_data
